Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","74,115.16","70,223.82","75,306.67","82,082.12","75,700.22","67,176.43","81,995.39",2018
Oman,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,570.74","14,834.59","15,482.13","17,338.96","16,529.35","14,215.58","16,211.88",2019
Pakistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,422.92","1,436.37","1,544.17","1,557.89","1,348.68","1,260.01",n/a,2020
Palau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,787.60","16,600.92","16,062.31","16,264.86","16,064.02","14,411.66","12,849.76",2018
Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,606.60","14,344.09","15,178.30","15,612.33","15,830.98","12,373.05","13,689.51",2019
Papua New Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,742.92","2,567.58","2,755.49","2,861.45","2,886.59","2,684.77","2,737.17",2019
Paraguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,353.06","5,259.92","5,609.85","5,725.90","5,332.99","4,946.46","5,145.64",2019
Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,141.43","6,191.12","6,725.98","7,000.16","6,958.10","6,083.87","6,678.27",2018
Philippines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,039.23","3,107.65","3,153.31","3,279.52","3,511.94","3,330.36","3,646.08",2020
Poland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,563.61","12,438.52","13,868.91","15,468.26","15,689.43","15,653.56","16,930.15",2020
Portugal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,252.02","19,986.36","21,482.83","23,573.29","23,287.02","22,488.62","25,064.64",2020
Puerto Rico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","29,755.35","30,585.55","31,347.27","31,559.06","32,809.06","30,317.39","32,232.71",2019
Qatar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","66,346.96","57,965.39","59,127.49","66,421.62","62,918.85","52,144.16","59,143.27",2018
Romania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,942.20","9,520.44","10,776.67","12,362.98","12,867.45","12,797.10","14,968.02",2019
Russia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,257.94","8,723.52","10,724.00","11,261.72","11,511.51","10,037.24","11,654.37",2019
Rwanda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",759.764,759.492,784.138,795.755,816.358,818.99,820.582,2012
Samoa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,073.68","4,081.75","4,211.63","4,197.73","4,237.69","3,960.61","3,671.85",2016
San Marino,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","43,068.69","44,308.67","45,887.69","49,477.28","48,368.00","44,818.19","49,765.07",2019
S„o TomÈ and PrÌncipe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,623.81","1,737.73","1,842.33","1,988.72","1,980.35","1,918.01","2,174.23",2011
Saudi Arabia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","21,063.31","20,288.92","21,113.96","23,538.93","23,266.49","20,178.23","22,700.14",2019
Senegal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,219.37","1,269.55","1,361.22","1,458.73","1,430.21","1,459.51","1,622.02",2018
Serbia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,588.98","5,765.20","6,292.55","7,252.40","7,391.84","7,635.65","8,748.31",2019
Seychelles,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,786.12","15,199.21","16,180.94","16,143.34","16,389.26","11,638.72","9,665.57",2015
Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",592.903,525.948,495.812,533.972,527.026,526.514,541.873,2017
Singapore,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","55,645.61","56,846.27","61,175.44","66,675.77","65,641.31","58,902.22","64,103.20",2019
Slovak Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,326.57","16,529.16","17,562.97","19,428.17","19,281.32","19,071.20","21,529.08",2019
Slovenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,898.91","21,681.34","23,510.11","26,216.43","26,036.84","25,210.72","28,103.80",2020
Solomon Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,231.83","2,299.88","2,375.04","2,496.89","2,462.55","2,392.24","2,454.83",2015
Somalia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",310.457,312.857,326.515,332.224,338.155,326.982,346.683,2019
South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,731.73","5,266.88","6,119.89","6,353.85","5,977.95","5,067.15","5,443.94",2020
South Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,245.68",286.208,277.692,359.062,309.718,295.661,314.644,2008
Spain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,764.22","26,535.55","28,196.76","30,448.00","29,586.40","27,132.32","30,995.54",2019
Sri Lanka,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,841.52","3,885.76","4,076.75","4,057.33","3,851.67","3,678.73","3,829.94",2019
St. Kitts and Nevis,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,004.85","17,708.18","17,994.32","18,060.37","18,832.28","14,918.75","14,402.09",2015
St. Lucia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,375.92","10,609.62","11,275.12","11,560.86","11,803.10","9,351.36","9,815.95",2015
St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,867.52","7,033.49","7,187.49","7,353.64","7,473.83","7,121.64","7,211.54",2016
Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,679.07","1,638.51","1,172.97",854.872,776.549,775.043,787.443,2011
Suriname,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,439.04","5,435.12","5,514.71","5,871.20","6,191.28","3,988.45","4,030.21",2018
Sweden,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","51,274.28","51,590.47","53,459.07","54,295.73","51,443.11","51,796.38","58,976.79",2019
Switzerland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","85,240.79","83,518.34","83,702.15","86,802.56","85,685.99","86,849.47","94,696.13",2019
Syria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","22,752.99","23,070.73","25,061.62","25,825.57","25,935.90","28,305.92","32,122.53",2019
Tajikistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",919.073,795.981,800.802,825.77,873.499,843.974,810.339,2014
Tanzania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",947.897,966.29,"1,002.87","1,036.93","1,079.68","1,090.39","1,103.61",2012
Thailand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,837.81","5,995.21","6,596.22","7,293.89","7,815.41","7,190.37","7,701.63",2019
Timor-Leste,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,332.79","1,353.75","1,286.41","1,230.23","1,560.51","1,358.73","1,284.51",2019
Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",770.358,802.935,830.458,902.15,893.18,904.675,"1,016.13",2016
Tonga,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,298.22","4,178.29","4,577.00","4,836.44","5,150.55","5,125.12","5,080.68",2019
Trinidad and Tobago,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,214.37","16,256.46","16,173.66","17,037.95","16,637.11","15,384.13","15,752.19",2019
Tunisia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,829.50","3,665.68","3,436.20","3,442.69","3,324.13","3,322.93","3,683.08",2019
Turkey,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,973.59","10,891.19","10,628.90","9,506.84","9,150.86","8,548.18","9,327.27",2020
Turkmenistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,432.67","6,410.26","6,642.52","7,065.48","7,723.68","7,967.30","9,032.20",2004
Tuvalu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,238.99","3,637.44","3,950.92","4,230.51","4,295.30","4,372.40","5,116.49",2012
Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",773.284,808.445,833.033,878.22,948.891,912.442,971.983,2016
Ukraine,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,124.62","2,200.00","2,655.94","3,118.53","3,687.63","3,653.11","3,983.64",2019
United Arab Emirates,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,380.57","36,226.23","38,031.54","40,479.47","39,179.88","31,982.23","35,171.18",2019
United Kingdom,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","45,053.49","41,177.83","40,349.87","43,063.74","42,416.60","40,406.28","46,343.67",2019
United States,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","56,848.51","58,017.23","60,105.85","63,055.98","65,253.52","63,415.99","68,308.97",2019
Uruguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,692.65","16,446.23","18,388.31","18,472.83","17,681.21","15,777.96","15,653.11",2015
Uzbekistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,621.98","2,575.52","1,810.27","1,542.64","1,735.84","1,701.94","1,774.93",2019
Vanuatu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,771.66","2,844.13","3,158.84","3,256.32","3,155.65","2,875.95","2,957.30",2017
Venezuela,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,568.10","9,092.02","4,725.05","3,404.43","2,299.31","1,690.66","1,541.70",2010
Vietnam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,582.39","2,720.19","2,957.93","3,211.46","3,415.46","3,498.98","3,609.28",2019
West Bank and Gaza,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,084.13","3,325.85","3,407.31","3,353.23","3,442.75","3,042.17","3,155.85",2019
Yemen,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,500.69","1,061.84",891.888,762.136,713.072,620.24,753.987,2019
Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,310.46","1,254.12","1,500.96","1,480.42","1,272.24",981.311,974.271,2019
Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,425.01","1,409.45","1,516.28","1,440.59","1,293.01","1,385.04","1,683.72",2017
,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",,,,,,,,,,,,
