Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,203.48","1,320.33","1,446.88","1,578.02","1,713.31","1,655.39","1,720.20",2019
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,327.64","1,363.95","1,424.60","1,535.19","1,501.87","1,469.91","1,649.01",2010
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","43,626.47","42,382.64","45,191.96","46,532.17","46,399.71","43,278.22","49,221.69",2019
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",377.476,402.053,450.744,488.563,479.846,489.869,552.343,2004
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",776.105,700.558,671.18,713.034,685.677,653.98,740.829,2004
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,570.89","13,779.04","15,033.26","15,862.05","14,615.95","12,989.60","15,617.13",2019
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,084.80","8,119.62","8,823.46","9,919.81","10,242.92","10,483.88","11,819.03",2019
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,088.67","5,799.62","6,327.38","6,704.75","6,419.48","5,335.59","5,752.67",2019
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,231.14","1,256.04","1,300.57","1,386.01","1,362.42","1,361.86","1,420.42",2015
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",490.698,459.14,456.398,553.329,573.513,540.534,587.596,2019
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,873.72","2,395.18","2,555.44","3,007.47","2,745.80","2,185.58","2,505.11",2018
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,635.20","11,986.92","12,185.26","12,412.15","12,599.21","11,982.28","11,805.84",2019
CÙte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,932.22","1,971.62","2,066.85","2,265.29","2,227.98","2,277.72","2,566.67",2015
Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,780.60","12,362.59","13,450.09","15,009.70","14,935.95","14,072.08","16,246.54",2019
Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,428.72","24,692.50","26,580.49","29,300.33","28,487.95","27,053.80","29,551.25",2020
Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,842.87","18,597.21","20,666.67","23,463.60","23,539.08","22,578.83","25,731.55",2019
Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,478.50","54,862.85","57,772.55","61,731.15","60,299.59","60,494.20","67,218.24",2019
Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,532.60","2,638.00","2,711.46","2,872.07","3,103.07","3,074.39","3,213.97",2018
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,666.36","7,997.39","7,114.37","7,081.38","7,731.79","6,903.76","6,989.10",2011
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,139.51","7,521.27","7,874.94","8,340.96","8,595.61","7,530.19","7,951.35",2019
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,099.35","6,046.30","6,216.61","6,318.48","6,260.60","5,520.36","5,665.18",2019
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,731.18","3,653.67","2,484.54","2,577.27","3,056.98","3,586.97","3,831.88",2020
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,705.58","3,805.99","3,910.26","4,067.66","4,186.96","3,794.31","4,031.27",2018
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,217.99","9,202.54","9,624.53","10,106.21","8,105.79","6,772.73","8,073.83",2015
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",603.193,655.424,557.857,580.845,566.731,588.253,624.878,0
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,531.06","18,444.69","20,451.24","23,181.22","23,720.41","23,330.09","26,469.64",2019
Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,765.92","3,513.80","4,031.06","4,225.91","4,009.99","3,504.45","3,710.13",2017
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",702.767,790.82,829.313,852.011,968.253,994.197,951.757,2016
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,385.52","5,620.61","6,049.89","6,272.73","6,144.04","4,797.32","5,069.01",2019
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,867.09","43,865.76","46,437.21","50,082.60","48,749.49","48,981.44","54,330.37",2019
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,937.86","38,348.51","40,134.13","43,044.25","41,810.72","39,907.14","44,995.24",2019
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,453.11","7,082.22","7,370.35","8,220.50","8,111.34","7,421.18","8,601.49",2004
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",649.511,683.998,676.656,729.035,774.206,790.829,833.858,2018
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,017.62","4,060.89","4,358.59","4,718.79","4,693.66","4,247.94","4,360.71",2015
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,107.22","42,124.32","44,537.10","47,832.06","46,472.62","45,732.80","51,860.11",2020
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,753.85","1,941.46","2,037.95","2,216.84","2,220.82","2,222.91","2,373.88",2018
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,997.40","17,879.71","18,578.29","19,769.33","19,147.46","17,670.29","19,672.53",2019
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,096.54","9,628.26","10,152.83","10,474.88","10,735.38","9,185.56","9,171.42",2016
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,825.88","3,982.17","4,230.85","4,235.78","4,354.34","4,288.75","4,439.46",2019
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",712.047,679.947,796.959,916.223,"1,012.50","1,106.47","1,141.25",2014
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",707.897,748.089,864.141,866.451,810.558,789.877,887.592,2017
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,579.97","5,796.82","6,104.16","6,120.54","6,594.38","7,327.17","9,192.39",2019
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,388.96","1,266.77","1,294.28","1,435.25","1,272.62","1,252.87","1,943.44",0
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,302.04","2,341.66","2,451.97","2,484.69","2,550.67","2,382.88","2,585.97",2019
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,325.35","43,491.31","46,032.29","48,313.14","48,626.24","46,753.46","49,036.30",2020
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,690.17","13,069.23","14,590.90","16,406.10","16,725.59","15,820.10","18,075.43",2019
